Expected_Min_Entropy,Bound_Type,Model,Value
0.2,Lower Bound,Default Predictors,0.1139634645
0.2,Mean,Default Predictors,0.11398955
0.2,Higher Bound,Default Predictors,0.1140156355
0.3,Lower Bound,Default Predictors,0.174572654
0.3,Mean,Default Predictors,0.17460611
0.3,Higher Bound,Default Predictors,0.174639566
0.4,Lower Bound,Default Predictors,0.239605002
0.4,Mean,Default Predictors,0.23965498
0.4,Higher Bound,Default Predictors,0.239704958
0.5,Lower Bound,Default Predictors,0.3122523852
0.5,Mean,Default Predictors,0.31231437
0.5,Higher Bound,Default Predictors,0.3123763548
0.6,Lower Bound,Default Predictors,0.3935792942
0.6,Mean,Default Predictors,0.39366006
0.6,Higher Bound,Default Predictors,0.3937408258
0.7,Lower Bound,Default Predictors,0.4880648225
0.7,Mean,Default Predictors,0.48821144
0.7,Higher Bound,Default Predictors,0.4883580575
0.8,Lower Bound,Default Predictors,0.6040709506
0.8,Mean,Default Predictors,0.60432209
0.8,Higher Bound,Default Predictors,0.6045732294
0.9,Lower Bound,Default Predictors,0.7518791593
0.9,Mean,Default Predictors,0.7525374
0.9,Higher Bound,Default Predictors,0.7531956407
1.0,Lower Bound,Default Predictors,0.9043016485
1.0,Mean,Default Predictors,0.90747906
1.0,Higher Bound,Default Predictors,0.9106564715
